flow_id,created_at,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
flow-00001,2018-02-16T01:45:28.000Z,0.0.0.0,192.168.1.1,41018,40018,6,5200477,5,3,935,380,935,0,187,418.1447118,380,0,126.6666667,219.3931023,252.8614202,1.538320427,742925.2857,1930901.732,5121312,7,5200477,1300119.25,2547726.106,5121319,32,77812,38906,54673.49632,77566,246,0,0,0,0,168,104,0.961450267,0.57687016,0,935,146.1111111,321.4204585,103311.1111,0,0,0,0,1,0,0,0,0,164.375,187,126.6666667,0,0,0,0,0,0,5,935,3,380,219,211,1,32,0,0,0,0,5121312,0,5121312,5121312
flow-00002,2018-02-16T01:45:28.000Z,100.1.1.1,192.168.1.1,1080,80,6,24465,3,4,321,935,321,0,107,185.3294364,935,0,233.75,467.5,51338.64705,286.1230329,4077.5,6698.508603,16174,4,16541,8270.5,11177.23689,16174,367,24457,8152.333333,8260.437055,16537,22,0,0,0,0,104,136,122.624157,163.4988759,0,935,157,333.8250183,111439.1429,0,0,0,1,0,0,0,0,1,179.4285714,107,233.75,0,0,0,0,0,0,3,321,4,935,26883,219,1,32,0,0,0,0,0,0,0,0
flow-00003,2018-02-16T01:45:29.000Z,100.1.1.2,192.168.1.1,1080,80,6,298,2,0,0,0,0,0,0,0,0,0,0,0,0,6711.409396,298,0,298,298,298,298,0,298,298,0,0,0,0,0,0,0,0,0,64,0,6711.409396,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0
flow-00004,2018-02-16T01:45:29.000Z,0.0.0.0,192.168.1.1,49870,48870,6,5285115,5,3,935,288,935,0,187,418.1447118,288,0,96,166.2768775,231.4046147,1.513685133,755016.4286,1970008.799,5222394,6,5285115,1321278.75,2600832.072,5222400,22,13102,6551,3573.717672,9078,4024,0,0,0,0,168,104,0.946053208,0.567631925,0,935,135.8888889,314.43936,98872.11111,0,0,0,0,1,0,0,0,0,152.875,187,96,0,0,0,0,0,0,5,935,3,288,219,211,1,32,0,0,0,0,5222394,0,5222394,5222394
flow-00005,2018-02-16T01:45:29.000Z,100.1.1.3,192.168.1.1,1080,80,6,2164,2,0,0,0,0,0,0,0,0,0,0,0,0,924.2144177,2164,0,2164,2164,2164,2164,0,2164,2164,0,0,0,0,0,0,0,0,0,64,0,924.2144177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0
flow-00006,2018-02-16T01:45:29.000Z,0.0.0.0,192.168.1.1,46466,45466,6,5216660,5,3,935,360,935,0,187,418.1447118,360,0,120,207.8460969,248.2431287,1.533548286,745237.1429,1947407.585,5161403,7,5216660,1304165,2571557.904,5161410,775,11778,5889,7269.057711,11029,749,0,0,0,0,168,104,0.958467679,0.575080607,0,935,143.8888889,319.6656239,102186.1111,0,0,0,0,1,0,0,0,0,161.875,187,120,0,0,0,0,0,0,5,935,3,360,219,211,1,32,0,0,0,0,5161403,0,5161403,5161403
flow-00007,2018-02-16T01:45:29.000Z,100.1.1.1,192.168.1.1,1080,80,6,210,2,0,0,0,0,0,0,0,0,0,0,0,0,9523.809524,210,0,210,210,210,210,0,210,210,0,0,0,0,0,0,0,0,0,64,0,9523.809524,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0
flow-00008,2018-02-16T01:45:30.000Z,100.1.1.2,192.168.1.1,1080,80,6,3485,2,0,0,0,0,0,0,0,0,0,0,0,0,573.8880918,3485,0,3485,3485,3485,3485,0,3485,3485,0,0,0,0,0,0,0,0,0,64,0,573.8880918,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0
flow-00009,2018-02-16T01:45:30.000Z,100.1.1.3,192.168.1.1,1080,80,6,51149,3,4,338,935,338,0,112.6666667,195.144391,935,0,233.75,467.5,24888.0721,136.8550705,8524.833333,14608.15737,36478,7,38090,19045,24653.98503,36478,1612,51142,17047.33333,19349.68709,38090,21,0,0,0,0,104,136,58.65217306,78.20289742,0,935,159.125,335.0699021,112271.8393,0,0,0,1,0,0,0,0,1,181.8571429,112.6666667,233.75,0,0,0,0,0,0,3,338,4,935,26883,219,1,32,0,0,0,0,0,0,0,0
flow-00010,2018-02-16T01:45:31.000Z,0.0.0.0,192.168.1.1,58060,57060,6,5359582,5,3,935,412,935,0,187,418.1447118,412,0,137.3333333,237.8683109,251.3255698,1.492653718,765654.5714,2004296.087,5310866,6,5359582,1339895.5,2647363.145,5310872,21,11533,5766.5,7809.994398,11289,244,0,0,0,0,168,104,0.932908574,0.559745144,0,935,149.6666667,324.4934514,105296,0,0,0,0,1,0,0,0,0,168.375,187,137.3333333,0,0,0,0,0,0,5,935,3,412,219,211,1,32,0,0,0,0,5310866,0,5310866,5310866
